,date,headline,keyword
63,2006.12.10. 오전 9:41,수도권 재건축 작년 2.5배 껑충..53%↑,"['수도권', '건축', '작년', '2.5', '2.5배', '배', '53']"
64,2006.12.10. 오전 9:01,주택담보대출금리 적정수준 못 미쳐금융硏,"['주택', '주택담보대출금리', '담보', '대출', '금리', '적정', '적정수준', '수준', '금융']"
65,2006.12.10. 오전 9:00,주택담보대출 고정금리 전환 시급금융硏,"['주택', '주택담보대출', '담보', '대출', '고정', '고정금리', '금리', '전환', '시급', '시급금융', '금융']"
66,2006.12.10. 오전 7:15,서울 아파트 분양가 외환위기후 연평균 19% 상승,"['서울', '아파트', '분양', '외환', '외환위기후', '위기', '후', '연평균', '19', '상승']"
67,2006.12.10. 오전 6:11,수도권 재건축 아파트값 53% 올라..작년 2.5배,"['수도권', '건축', '아파트', '아파트값', '값', '53', '작년', '2.5', '2.5배', '배']"
68,2006.12.10. 오전 5:55,주택담보대출 금리 연중 최고치로 급등,"['주택', '주택담보대출', '담보', '대출', '금리', '연중', '최고', '급등']"
69,2006.12.10. 오전 5:01,부동산 투자 열풍 해외로 확산,"['부동산', '투자', '열풍', '해외', '확산']"
70,2006.12.11. 오후 11:28,강원랜드로 가는 길 사북고한 4차로 개통,"['강원', '강원랜드', '랜드', '길', '사북', '사북고한', '고한', '4', '4차', '차', '개통']"
71,2006.12.11. 오후 10:58,이용섭 건설교통부 장관 내년 봄 전세난 대책마련에 올인,"['용섭', '건설', '건설교통부', '교통부', '장관', '내년', '봄', '전세', '대책', '대책마련', '마련', '올']"
72,2006.12.11. 오후 10:02,은행권 가계대출 더 어려워진다,"['은행권', '가계', '가계대출', '대출']"
73,2006.12.11. 오후 9:39,SH공사 임대주택 914가구 공급,"['공사', '임대', '임대주택', '주택', '914', '914가구', '가구', '공급']"
74,2006.12.11. 오후 9:07,어이없는 주택담보대출 중단 소동,"['어이', '주택', '주택담보대출', '담보', '대출', '중단', '소동']"
75,2006.12.11. 오후 9:03,성남 도촌 커트라인 청약저축 1500만원선 웃돌아,"['성남', '도', '도촌', '촌', '커트', '커트라인', '라인', '청약', '청약저축', '저축', '1500', '1500만원선', '만', '원', '선']"
76,2006.12.11. 오후 8:36,11·15대책 한달 집값 일단 ‘종종걸음’,"['11', '15', '15대책', '대책', '달', '집값', '종종', '종종걸음', '걸음']"
77,2006.12.11. 오후 8:30,아파트값 민원 발생때도 실거래값 공개,"['아파트', '아파트값', '값', '민원', '발생', '발생때', '때', '실', '실거래값', '거래', '공개']"
78,2006.12.11. 오후 8:02,토지보상금 예치땐 상가 입찰자격,"['토지', '토지보상금', '보상금', '예치', '상가', '입찰', '입찰자격', '자격']"
79,2006.12.11. 오후 8:02,13년전 산 집 한채뿐인데 세금 너무과해,"['13', '13년전', '년', '전', '산', '집', '채', '세금']"
80,2006.12.11. 오후 8:02,15일마감 종부세 계산 헷갈리나요,"['15', '15일마감', '일', '마감', '종', '종부세', '부세', '계산']"
81,2006.12.11. 오후 8:02,부동산 재테크 무료강좌,"['부동산', '재테크', '무료', '무료강좌', '강좌']"
82,2006.12.11. 오후 8:02,아파트 시가 1년새 308조 증가,"['아파트', '시가', '1', '1년새', '년', '새', '308', '308조', '조', '증가']"
83,2006.12.11. 오후 8:02,단국대 부동산대학원 개원,"['단국', '단국대', '대', '부동산', '부동산대학원', '대학원', '개원']"
84,2006.12.11. 오후 8:02,분양 임대주택 914가구 공급,"['분양', '임대', '임대주택', '주택', '914', '914가구', '가구', '공급']"
85,2006.12.11. 오후 8:02,이천에 미니신도시 역세권 10만20만평,"['이천', '미니', '미니신도시', '신도시', '역세권', '10', '10만20만', '만', '20', '평']"
86,2006.12.11. 오후 8:02,11ㆍ15 부동산대책 한달…8ㆍ31 때와 비교해보니,"['11', '11ㆍ15', 'ㆍ', '15', '부동산', '부동산대책', '대책', '달', '8', '8ㆍ31', '31', '때', '비교']"
87,2006.12.11. 오후 8:02,용적률ㆍ다세대주택 규제완화 미적미적,"['용적률', '용적률ㆍ다세대주택', 'ㆍ', '다세대', '주택', '규제', '규제완화', '완화']"
88,2006.12.11. 오후 8:02,이용섭 건교 내년 봄 전세난 미리 대처할것,[]
89,2006.12.11. 오후 8:02,업계약 다운계약 거래가 속이기 여전,"['업', '업계약', '계약', '다운', '다운계약', '거래', '이기']"
90,2006.12.11. 오후 7:57,‘환율리스크’ 해외건설 발목잡나,"['환율', '환율리스크', '리스크', '해외', '해외건설', '건설', '발목']"
91,2006.12.11. 오후 7:51,아파트 시가총액 1년새 308조↑,"['아파트', '시가', '시가총액', '총액', '1', '1년새', '년', '새', '308', '308조', '조']"
92,2006.12.11. 오후 7:33,“내년 봄 전셋값 잡겠다”  이용섭 건교장관 취임,"['내년', '봄', '전', '전셋값', '셋', '값', '용섭', '건', '건교장관', '교', '장관', '취임']"
93,2006.12.11. 오후 7:00,이용섭 건교，‘분양가 초강경 대책’ 시사,"['용섭', '건', '건교', '교', '분양', '강경', '대책', '시사']"
94,2006.12.11. 오후 6:48,전국 자치단체 거래세 인하…내년 1.9조 손실,"['전국', '자치', '자치단체', '단체', '거래세', '인하', '내년', '1.9', '1.9조', '조', '손실']"
95,2006.12.11. 오후 6:34,인천 개발보상가 낮다 주민 항의 집회종합,"['인천', '개발', '개발보상', '보상', '주민', '항의', '집회', '집회종합', '종합']"
96,2006.12.11. 오후 6:33,11·15대책 한달… 지금 주택 시장은,"['11', '15', '15대책', '대책', '달', '지금', '주택', '시장']"
