,total,하락세,하락,급락,내림세,하락…,하락...,하락..
687,38.0,2.0,30.0,0.0,0.0,6.0,0.0,0.0
688,33.0,4.0,23.0,1.0,0.0,4.0,1.0,0.0
689,26.0,3.0,18.0,1.0,0.0,4.0,0.0,0.0
690,36.0,5.0,25.0,1.0,0.0,4.0,0.0,1.0
691,41.0,6.0,29.0,1.0,0.0,5.0,0.0,0.0
692,18.0,2.0,14.0,0.0,0.0,2.0,0.0,0.0
693,30.0,9.0,15.0,4.0,0.0,2.0,0.0,0.0
694,21.0,1.0,15.0,0.0,1.0,4.0,0.0,0.0
695,25.0,9.0,10.0,1.0,0.0,5.0,0.0,0.0
696,28.0,2.0,16.0,1.0,1.0,6.0,1.0,1.0
697,25.0,8.0,10.0,4.0,0.0,3.0,0.0,0.0
698,23.0,5.0,14.0,0.0,0.0,4.0,0.0,0.0
699,22.0,2.0,13.0,2.0,0.0,5.0,0.0,0.0
700,17.0,3.0,9.0,0.0,1.0,4.0,0.0,0.0
701,19.0,3.0,13.0,0.0,0.0,3.0,0.0,0.0
702,11.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0
703,39.0,17.0,18.0,2.0,0.0,2.0,0.0,0.0
704,35.0,6.0,22.0,0.0,0.0,6.0,1.0,0.0
705,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0
706,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
707,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
708,15.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0
709,7.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0
710,16.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0
711,17.0,1.0,10.0,1.0,0.0,4.0,0.0,1.0
712,12.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0
713,11.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0
714,9.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0
715,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
716,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
717,11.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
718,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
719,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0
720,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
721,11.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
722,13.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0
723,13.0,1.0,8.0,1.0,0.0,3.0,0.0,0.0
724,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
725,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
726,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
727,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
728,6.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
729,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
730,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
731,14.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0
732,17.0,1.0,10.0,0.0,0.0,6.0,0.0,0.0
733,38.0,4.0,29.0,0.0,1.0,3.0,0.0,1.0
734,23.0,2.0,15.0,1.0,0.0,5.0,0.0,0.0
735,11.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0
736,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
