,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
657,29.0,8.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0
658,43.0,12.0,15.0,10.0,1.0,4.0,1.0,0.0,0.0
659,61.0,6.0,23.0,6.0,12.0,7.0,5.0,0.0,2.0
660,59.0,9.0,27.0,5.0,10.0,7.0,1.0,0.0,0.0
661,43.0,9.0,17.0,5.0,8.0,2.0,2.0,0.0,0.0
662,34.0,10.0,11.0,2.0,4.0,4.0,2.0,0.0,1.0
663,25.0,7.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0
664,15.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0
665,41.0,11.0,17.0,3.0,4.0,3.0,1.0,2.0,0.0
666,28.0,7.0,9.0,3.0,4.0,3.0,1.0,1.0,0.0
667,27.0,8.0,8.0,4.0,3.0,0.0,4.0,0.0,0.0
668,42.0,8.0,14.0,9.0,8.0,3.0,0.0,0.0,0.0
669,23.0,9.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0
670,27.0,12.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0
671,21.0,8.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0
672,13.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0
673,21.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
674,13.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0
675,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
676,12.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0
677,18.0,2.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0
678,21.0,1.0,13.0,5.0,1.0,1.0,0.0,0.0,0.0
679,13.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0
680,22.0,1.0,14.0,3.0,2.0,1.0,1.0,0.0,0.0
681,53.0,2.0,15.0,14.0,9.0,12.0,0.0,0.0,1.0
682,10.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
683,12.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0
684,70.0,1.0,39.0,10.0,7.0,10.0,0.0,0.0,3.0
685,11.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0
686,13.0,0.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0
687,12.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
688,61.0,0.0,31.0,8.0,16.0,5.0,0.0,0.0,1.0
689,11.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0
690,18.0,1.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0
691,14.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0
692,18.0,3.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0
693,24.0,3.0,13.0,4.0,2.0,1.0,0.0,0.0,1.0
694,18.0,0.0,10.0,1.0,2.0,3.0,2.0,0.0,0.0
695,46.0,2.0,21.0,12.0,3.0,6.0,1.0,0.0,1.0
696,24.0,2.0,10.0,8.0,0.0,3.0,1.0,0.0,0.0
