,total,약세,안정세,보합세,보합
211,0.0,0.0,0.0,0.0,0.0
212,1.0,0.0,1.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0
214,1.0,1.0,0.0,0.0,0.0
215,6.0,6.0,0.0,0.0,0.0
216,1.0,0.0,0.0,1.0,0.0
217,2.0,2.0,0.0,0.0,0.0
218,1.0,1.0,0.0,0.0,0.0
219,1.0,1.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0
221,4.0,4.0,0.0,0.0,0.0
222,2.0,2.0,0.0,0.0,0.0
223,4.0,3.0,0.0,1.0,0.0
224,2.0,2.0,0.0,0.0,0.0
225,3.0,3.0,0.0,0.0,0.0
226,1.0,0.0,0.0,1.0,0.0
227,3.0,3.0,0.0,0.0,0.0
228,2.0,1.0,0.0,1.0,0.0
229,4.0,3.0,0.0,1.0,0.0
230,7.0,5.0,0.0,0.0,2.0
231,4.0,2.0,0.0,2.0,0.0
232,2.0,1.0,1.0,0.0,0.0
233,2.0,2.0,0.0,0.0,0.0
234,3.0,2.0,0.0,1.0,0.0
235,2.0,2.0,0.0,0.0,0.0
236,4.0,3.0,0.0,1.0,0.0
237,3.0,2.0,0.0,0.0,1.0
238,2.0,1.0,0.0,1.0,0.0
239,0.0,0.0,0.0,0.0,0.0
240,2.0,1.0,0.0,0.0,1.0
241,1.0,1.0,0.0,0.0,0.0
242,1.0,0.0,0.0,1.0,0.0
243,0.0,0.0,0.0,0.0,0.0
244,1.0,1.0,0.0,0.0,0.0
245,2.0,1.0,0.0,1.0,0.0
246,2.0,2.0,0.0,0.0,0.0
247,2.0,2.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0
250,1.0,0.0,0.0,0.0,1.0
251,1.0,1.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0
254,1.0,0.0,0.0,1.0,0.0
255,2.0,0.0,0.0,2.0,0.0
256,1.0,0.0,0.0,0.0,1.0
257,0.0,0.0,0.0,0.0,0.0
258,3.0,1.0,1.0,1.0,0.0
259,0.0,0.0,0.0,0.0,0.0
260,2.0,1.0,0.0,1.0,0.0
261,0.0,0.0,0.0,0.0,0.0
262,1.0,0.0,0.0,1.0,0.0
263,1.0,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,0.0,0.0
265,1.0,0.0,1.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0
267,1.0,0.0,0.0,0.0,1.0
268,1.0,1.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0
270,3.0,2.0,0.0,0.0,1.0
271,1.0,0.0,0.0,0.0,1.0
272,2.0,0.0,1.0,1.0,0.0
273,1.0,0.0,0.0,1.0,0.0
274,2.0,0.0,1.0,0.0,1.0
275,3.0,0.0,0.0,1.0,2.0
276,1.0,0.0,1.0,0.0,0.0
277,7.0,2.0,5.0,0.0,0.0
278,1.0,0.0,0.0,0.0,1.0
279,3.0,2.0,0.0,1.0,0.0
280,5.0,1.0,3.0,0.0,1.0
281,3.0,2.0,0.0,0.0,1.0
282,1.0,1.0,0.0,0.0,0.0
283,1.0,0.0,0.0,1.0,0.0
284,1.0,1.0,0.0,0.0,0.0
285,1.0,1.0,0.0,0.0,0.0
286,4.0,2.0,1.0,0.0,1.0
287,1.0,0.0,1.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0
290,2.0,0.0,0.0,2.0,0.0
291,2.0,0.0,0.0,1.0,1.0
292,5.0,0.0,0.0,3.0,2.0
293,1.0,0.0,0.0,1.0,0.0
294,1.0,1.0,0.0,0.0,0.0
295,1.0,1.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0
297,2.0,1.0,0.0,0.0,1.0
298,1.0,0.0,0.0,1.0,0.0
299,0.0,0.0,0.0,0.0,0.0
300,2.0,2.0,0.0,0.0,0.0
301,2.0,1.0,1.0,0.0,0.0
